,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
2093,Hf29La2O63Si,222,29,246,1,-12839944.811563302,21.986685693264008,Hf29La2O63Si_sc222/No29/246
2094,Hf29La2O63Si,222,29,247,1,-12839944.064976199,45.56312048435211,Hf29La2O63Si_sc222/No29/247
2095,Hf29La2O63Si,222,29,248,1,-12839944.99017,16.346474230289463,Hf29La2O63Si_sc222/No29/248
2096,Hf29La2O63Si,222,29,249,1,-12839944.2764831,38.883955240249634,Hf29La2O63Si_sc222/No29/249
2097,Hf29La2O63Si,222,61,259,1,-12839945.664067,-4.9344836473464975,Hf29La2O63Si_sc222/No61/259
2098,Hf29La2O63Si,222,61,260,1,-12839945.3729985,4.2571531534194955,Hf29La2O63Si_sc222/No61/260
2099,Hf29La2O63Si,222,61,261,1,-12839945.5853374,-2.448285818099976,Hf29La2O63Si_sc222/No61/261
2100,Hf29La2O63Si,222,61,262,1,-12839945.504383301,0.10815942287445067,Hf29La2O63Si_sc222/No61/262
2101,Hf29La2O63Si,222,61,263,1,-12839944.843554301,20.976443707942966,Hf29La2O63Si_sc222/No61/263
2102,Hf29La2O63Si,222,61,264,1,-12839945.312812401,6.157766938209534,Hf29La2O63Si_sc222/No61/264
2103,Hf29La2O63Si,222,14,271,1,-12839945.296425099,6.675260484218597,Hf29La2O63Si_sc222/No14/271
2104,Hf29La2O63Si,222,14,272,1,-12839945.824254595,-9.993039369583132,Hf29La2O63Si_sc222/No14/272
2105,Hf29La2O63Si,222,14,273,1,-12839946.0208267,-16.200579464435574,Hf29La2O63Si_sc222/No14/273
2106,Hf29La2O63Si,222,14,274,1,-12839944.6621798,26.704059422016144,Hf29La2O63Si_sc222/No14/274
2107,Hf29La2O63Si,222,14,275,1,-12839945.6090646,-3.197565793991089,Hf29La2O63Si_sc222/No14/275
2108,Hf29La2O63Si,222,14,276,1,-12839943.950333301,49.18342262506485,Hf29La2O63Si_sc222/No14/276
2109,Hf29La2O63Si,222,29,250,1,-12839944.6404651,27.389786779880524,Hf29La2O63Si_sc222/No29/250
2110,Hf29La2O63Si,222,29,251,1,-12839944.6626864,26.68806153535843,Hf29La2O63Si_sc222/No29/251
2111,Hf29La2O63Si,222,29,252,1,-12839944.3404786,36.86304479837417,Hf29La2O63Si_sc222/No29/252
2112,Hf29La2O63Si,222,29,253,1,-12839944.090056699,44.77110469341278,Hf29La2O63Si_sc222/No29/253
2113,Hf29La2O63Si,222,29,254,1,-12839944.253267199,39.6170888543129,Hf29La2O63Si_sc222/No29/254
2114,Hf29La2O63Si,222,29,255,1,-12839944.223714901,40.55031949281693,Hf29La2O63Si_sc222/No29/255
2115,Hf29La2O63Si,222,61,265,1,-12839944.5174146,31.275592029094696,Hf29La2O63Si_sc222/No61/265
2116,Hf29La2O63Si,222,61,266,1,-12839946.122375399,-19.407380580902103,Hf29La2O63Si_sc222/No61/266
2117,Hf29La2O63Si,222,61,267,1,-12839945.180324301,10.341601610183718,Hf29La2O63Si_sc222/No61/267
2118,Hf29La2O63Si,222,61,268,1,-12839944.3259352,37.32231003046036,Hf29La2O63Si_sc222/No61/268
2119,Hf29La2O63Si,222,61,269,1,-12839943.5041107,63.27466267347336,Hf29La2O63Si_sc222/No61/269
2120,Hf29La2O63Si,222,61,270,1,-12839943.966875099,48.66104990243912,Hf29La2O63Si_sc222/No61/270
2121,Hf29La2O63Si,222,14,277,1,-12839945.0635267,14.029946863651276,Hf29La2O63Si_sc222/No14/277
2122,Hf29La2O63Si,222,14,278,1,-12839944.4132804,34.56404060125351,Hf29La2O63Si_sc222/No14/278
2123,Hf29La2O63Si,222,14,279,1,-12839946.0425625,-16.8869731426239,Hf29La2O63Si_sc222/No14/279
2124,Hf29La2O63Si,222,14,280,1,-12839944.259489,39.420611023902886,Hf29La2O63Si_sc222/No14/280
2125,Hf29La2O63Si,222,14,281,1,-12839945.069853999,13.830137312412262,Hf29La2O63Si_sc222/No14/281
2126,Hf29La2O63Si,222,14,282,1,-12839944.3105989,37.80661416053772,Hf29La2O63Si_sc222/No14/282
2127,Hf29La2O63Si,222,29,256,1,-12839945.0860305,13.319300472736359,Hf29La2O63Si_sc222/No29/256
2128,Hf29La2O63Si,222,29,257,1,-12839944.674165402,26.325566828250885,Hf29La2O63Si_sc222/No29/257
2129,Hf29La2O63Si,222,29,258,1,-12839944.548688302,30.288001537322998,Hf29La2O63Si_sc222/No29/258
2130,Hf29La2O63Si,222,29,259,1,-12839944.026634801,46.77390158176422,Hf29La2O63Si_sc222/No29/259
2131,Hf29La2O63Si,222,29,260,1,-12839944.5080519,31.57125627994537,Hf29La2O63Si_sc222/No29/260
2132,Hf29La2O63Si,222,29,261,1,-12839944.6780729,26.202172040939328,Hf29La2O63Si_sc222/No29/261
2133,Hf29La2O63Si,222,61,271,1,-12839943.6255996,59.438170969486244,Hf29La2O63Si_sc222/No61/271
2134,Hf29La2O63Si,222,61,272,1,-12839946.482684402,-30.78555953502655,Hf29La2O63Si_sc222/No61/272
2135,Hf29La2O63Si,222,61,273,1,-12839944.1589194,42.59649312496185,Hf29La2O63Si_sc222/No61/273
2136,Hf29La2O63Si,222,61,274,1,-12839944.2325276,40.27202361822128,Hf29La2O63Si_sc222/No61/274
2137,Hf29La2O63Si,222,61,275,1,-12839943.3718852,67.45020473003386,Hf29La2O63Si_sc222/No61/275
2138,Hf29La2O63Si,222,61,276,1,-12839944.808469199,22.084394097328182,Hf29La2O63Si_sc222/No61/276
2139,Hf29La2O63Si,222,14,283,1,-12839945.855815401,-10.989696264266968,Hf29La2O63Si_sc222/No14/283
2140,Hf29La2O63Si,222,14,284,1,-12839945.8267113,-10.070619523525238,Hf29La2O63Si_sc222/No14/284
2141,Hf29La2O63Si,222,14,285,1,-12839946.409082001,-28.46127319335937,Hf29La2O63Si_sc222/No14/285
2142,Hf29La2O63Si,222,29,262,1,-12839944.8941401,19.378997385501858,Hf29La2O63Si_sc222/No29/262
2143,Hf29La2O63Si,222,29,263,1,-12839945.2383275,8.509921610355379,Hf29La2O63Si_sc222/No29/263
2144,Hf29La2O63Si,222,29,264,1,-12839944.1531904,42.77740889787675,Hf29La2O63Si_sc222/No29/264
2145,Hf29La2O63Si,222,29,265,1,-12839944.3654,36.07605314254761,Hf29La2O63Si_sc222/No29/265
2146,Hf29La2O63Si,222,29,266,1,-12839945.4155761,2.912597358226776,Hf29La2O63Si_sc222/No29/266
2147,Hf29La2O63Si,222,29,267,1,-12839943.8282423,53.03892785310745,Hf29La2O63Si_sc222/No29/267
2148,Hf29La2O63Si,222,61,277,1,-12839944.2042224,41.16587209701538,Hf29La2O63Si_sc222/No61/277
2149,Hf29La2O63Si,222,61,278,1,-12839946.2567744,-23.6515594124794,Hf29La2O63Si_sc222/No61/278
2150,Hf29La2O63Si,222,61,279,1,-12839945.0423578,14.6984384059906,Hf29La2O63Si_sc222/No61/279
2151,Hf29La2O63Si,222,61,280,1,-12839945.117369302,12.329654157161713,Hf29La2O63Si_sc222/No61/280
2152,Hf29La2O63Si,222,61,281,1,-12839943.876953801,51.50066995620728,Hf29La2O63Si_sc222/No61/281
2153,Hf29La2O63Si,222,61,282,1,-12839944.4518973,33.344559371471405,Hf29La2O63Si_sc222/No61/282
2154,Hf29La2O63Si,222,14,286,1,-12839945.463753099,1.391218364238739,Hf29La2O63Si_sc222/No14/286
2155,Hf29La2O63Si,222,14,287,1,-12839944.4176127,34.427231073379524,Hf29La2O63Si_sc222/No14/287
2156,Hf29La2O63Si,222,14,288,1,-12839945.7259905,-6.8899627327919015,Hf29La2O63Si_sc222/No14/288
2157,Hf29La2O63Si,222,14,289,1,-12839944.0337699,46.54858261346817,Hf29La2O63Si_sc222/No14/289
2158,Hf29La2O63Si,222,14,290,1,-12839945.1752567,10.50163108110428,Hf29La2O63Si_sc222/No14/290
